[2022-05-09 07:34:01.398] [uploader] [info] [data_manager.cpp:52] COMMAND: mkdir -p /workdir/data/2022-05-09-07-06-13/camera_right_front/camera_right_front
[2022-05-09 07:34:01.401] [uploader] [info] [data_manager.cpp:54] RUN exit code: 0
[2022-05-09 07:34:01.401] [uploader] [info] [data_manager.cpp:52] COMMAND: mkdir -p /workdir/data/2022-05-09-07-06-13/camera_right_front/camera_right_front
[2022-05-09 07:34:01.404] [uploader] [info] [data_manager.cpp:54] RUN exit code: 0
[2022-05-09 07:34:01.405] [uploader] [info] [data_manager.cpp:52] COMMAND: mkdir -p /workdir/data/2022-05-09-07-06-13/camera_right_front/camera_right_front
[2022-05-09 07:34:01.408] [uploader] [info] [data_manager.cpp:54] RUN exit code: 0
[2022-05-09 07:34:01.408] [uploader] [info] [data_manager.cpp:52] COMMAND: mkdir -p /workdir/data/2022-05-09-07-06-13/camera_right_front/camera_right_front
[2022-05-09 07:34:01.411] [uploader] [info] [data_manager.cpp:54] RUN exit code: 0
[2022-05-09 07:34:01.411] [uploader] [info] [data_manager.cpp:52] COMMAND: mkdir -p /workdir/data/2022-05-09-07-06-13/camera_right_front/camera_right_front
[2022-05-09 07:34:01.415] [uploader] [info] [data_manager.cpp:54] RUN exit code: 0
[2022-05-09 07:34:01.415] [uploader] [info] [data_manager.cpp:52] COMMAND: mkdir -p /workdir/data/2022-05-09-07-06-13/camera_right_front/camera_right_front
[2022-05-09 07:34:01.419] [uploader] [info] [data_manager.cpp:54] RUN exit code: 0
[2022-05-09 07:34:01.419] [uploader] [info] [data_manager.cpp:52] COMMAND: mkdir -p /workdir/data/2022-05-09-07-06-13/camera_right_front/camera_right_front
[2022-05-09 07:34:01.423] [uploader] [info] [data_manager.cpp:54] RUN exit code: 0
[2022-05-09 07:34:01.423] [uploader] [info] [data_manager.cpp:52] COMMAND: mkdir -p /workdir/data/2022-05-09-07-06-13/camera_right_front/camera_right_front
[2022-05-09 07:34:01.428] [uploader] [info] [data_manager.cpp:54] RUN exit code: 0
[2022-05-09 07:34:01.428] [uploader] [info] [data_manager.cpp:52] COMMAND: mkdir -p /workdir/data/2022-05-09-07-06-13/camera_right_front/camera_right_front
[2022-05-09 07:34:01.433] [uploader] [info] [data_manager.cpp:54] RUN exit code: 0
[2022-05-09 07:34:01.433] [uploader] [info] [data_manager.cpp:52] COMMAND: mkdir -p /workdir/data/2022-05-09-07-06-13/camera_right_front/camera_right_front
[2022-05-09 07:34:01.436] [uploader] [info] [data_manager.cpp:54] RUN exit code: 0
[2022-05-09 07:34:01.436] [uploader] [info] [data_manager.cpp:52] COMMAND: mkdir -p /workdir/data/2022-05-09-07-06-13/camera_right_front/camera_right_front
[2022-05-09 07:34:01.440] [uploader] [info] [data_manager.cpp:54] RUN exit code: 0
[2022-05-09 07:34:01.441] [uploader] [info] [data_manager.cpp:52] COMMAND: mkdir -p /workdir/data/2022-05-09-07-06-13/camera_right_front/camera_right_front
[2022-05-09 07:34:01.445] [uploader] [info] [data_manager.cpp:54] RUN exit code: 0
[2022-05-09 07:34:01.445] [uploader] [info] [data_manager.cpp:52] COMMAND: mkdir -p /workdir/data/2022-05-09-07-06-13/camera_right_front/camera_right_front
[2022-05-09 07:34:01.449] [uploader] [info] [data_manager.cpp:54] RUN exit code: 0
[2022-05-09 07:34:01.450] [uploader] [info] [data_manager.cpp:52] COMMAND: mkdir -p /workdir/data/2022-05-09-07-06-13/camera_right_front/camera_right_front
[2022-05-09 07:34:01.454] [uploader] [info] [data_manager.cpp:54] RUN exit code: 0
[2022-05-09 07:34:01.455] [uploader] [info] [data_manager.cpp:52] COMMAND: mkdir -p /workdir/data/2022-05-09-07-06-13/camera_fisheye_pstitch/camera_fisheye_pstitch
[2022-05-09 07:34:01.459] [uploader] [info] [data_manager.cpp:54] RUN exit code: 0
[2022-05-09 07:34:01.459] [uploader] [info] [data_manager.cpp:52] COMMAND: mkdir -p /workdir/data/2022-05-09-07-06-13/camera_fisheye_pstitch/camera_fisheye_pstitch
[2022-05-09 07:34:01.463] [uploader] [info] [data_manager.cpp:54] RUN exit code: 0
[2022-05-09 07:34:01.463] [uploader] [info] [data_manager.cpp:52] COMMAND: mkdir -p /workdir/data/2022-05-09-07-06-13/camera_fisheye_pstitch/camera_fisheye_pstitch
[2022-05-09 07:34:01.470] [uploader] [info] [data_manager.cpp:54] RUN exit code: 0
[2022-05-09 07:34:01.471] [uploader] [info] [data_manager.cpp:52] COMMAND: mkdir -p /workdir/data/2022-05-09-07-06-13/camera_fisheye_pstitch/camera_fisheye_pstitch
[2022-05-09 07:34:01.477] [uploader] [info] [data_manager.cpp:54] RUN exit code: 0
